300 150 0 -150 -300
190.19	8.44 	8.67 	10.98 	11.21 	13.68 	14.06 	16.48 	16.52 	19.31 	19.29 
192.94	8.20 	8.48 	10.78 	11.06 	13.60 	13.73 	16.14 	16.36 	18.91 	19.09 
195.66	8.22 	8.36 	10.69 	10.83 	13.44 	13.53 	16.04 	16.01 	18.79 	18.71 
198.36	7.93 	8.31 	10.48 	10.71 	13.29 	13.45 	15.71 	15.89 	18.62 	18.57 
201.03	7.99 	8.34 	10.31 	10.63 	13.00 	13.31 	15.51 	15.77 	18.01 	18.24 
203.67	7.98 	8.36 	10.43 	10.68 	13.05 	13.25 	15.51 	15.53 	18.05 	17.94 
206.28	7.79 	8.57 	10.16 	10.74 	12.88 	13.31 	15.23 	15.50 	17.88 	17.87 
208.87	7.92 	8.20 	10.22 	10.42 	13.04 	12.81 	15.24 	15.10 	17.95 	17.46 
211.44	7.77 	8.29 	10.04 	10.39 	12.73 	12.85 	15.11 	15.03 	17.71 	17.35 
213.98	7.52 	8.25 	9.91 	10.36 	12.55 	12.68 	14.73 	14.93 	17.37 	17.08 
216.5	7.54 	8.24 	9.70 	10.23 	12.23 	12.55 	14.58 	14.68 	16.94 	16.95 
219	8.59 	8.03 	10.04 	10.16 	12.25 	12.44 	14.15 	14.58 	16.18 	16.83 
221.48	8.58 	8.08 	10.01 	10.06 	12.07 	12.47 	14.07 	14.51 	16.10 	16.55 
223.94	8.55 	7.56 	10.01 	9.71 	12.06 	11.92 	13.95 	14.12 	15.98 	16.34
226.37	8.03 	7.81 	9.54 	9.77 	11.64 	12.06 	13.65 	14.13 	15.84	16.33
228.79	7.16 	7.63 	9.31 	9.66 	11.71 	11.84 	13.96 	14.00 	16.10 	16.02 
231.19	6.96 	7.37 	8.98 	9.39 	11.29 	11.59 	13.57 	13.77 	15.68 	15.69 
233.58	6.87 	7.15 	8.86 	9.20 	11.17 	11.34 	13.40 	13.55 	15.52 	15.56 
235.94	6.70 	6.94 	8.84 	9.07 	11.08 	11.21 	13.25 	13.38 	15.27 	15.45 
238.29	6.71 	6.85 	8.66 	8.83 	10.95 	11.08 	13.08 	13.17 	15.15 	15.36 
240.63	6.66 	6.88 	8.57 	8.83 	10.95 	11.02 	12.92 	13.06 	15.03 	15.11 
242.95	6.62 	6.78 	8.68 	8.78 	10.88 	10.89 	13.05 	12.95 	15.11 	15.02 
245.25	6.58 	7.16 	8.53 	8.96 	10.75 	11.09 	12.91 	13.09 	15.01 	15.05 
247.54	6.32 	7.04 	8.39 	8.93 	10.52 	10.96 	12.61 	12.95 	14.67 	14.77 
249.82	6.33 	6.90 	8.37 	8.77 	10.52 	10.80 	12.63 	12.82 	14.85 	14.68 
252.09	6.32 	6.88 	8.31 	8.66 	10.51 	10.70 	12.65 	12.74 	14.84 	14.61 
254.34	6.29 	6.70 	8.29 	8.54 	10.41 	10.58 	12.48 	12.52 	14.56 	14.52 
256.58	6.17 	6.66 	8.06 	8.44 	10.30 	10.52 	12.24 	12.40 	14.23 	14.43 
258.81	6.13 	6.66 	8.03 	8.43 	10.14 	10.48 	12.16 	12.37 	14.18 	14.36 
261.03	6.18 	6.66 	8.13 	8.42 	10.30 	10.42 	12.27 	12.26 	14.25 	14.27 
