120.26	33.3
123.91	35.2
127.51	37.2
131.05	39.2
134.55	41.2
138	43.2
141.4	45.3
144.75	47.3
148.06	49.3
151.32	51.4
154.54	53.5
157.72	55.5
160.86	57.5
163.95	59.6
167.01	61.6
170.03	63.6
173.01	65.7
175.96	67.8
178.87	69.8
181.75	72
184.59	74
187.41	76
190.19	78.2
192.94	80.2
195.66	82.2
198.36	84.2
201.03	86.2
203.67	88.2
206.28	90.3
208.87	92.1
211.44	94.2
213.98	96.1
216.5	98.1
219	100.1
221.48	102.1
223.94	104.1
226.37	106.1
228.79	108.1
231.19	110.1
233.58	112.3
235.94	114.2
238.29	116.2
240.63	118
242.95	119.9
245.25	121.9
247.54	123.9
249.82	125.9
252.09	127.8
254.34	129.8
256.58	131.8
258.81	133.6
261.03	135.6
263.23	137.6
265.43	139.6
267.62	141.4
269.8	143.4
271.97	145.4
274.13	147.4
276.28	149.4
278.42	151.4
280.56	153.3
282.69	155.2
284.81	157.2
286.93	159.3
289.04	161.3
291.14	163.3
293.24	165.3
295.33	167.1
297.42	169.1
299.5	171.2
301.57	173.2
303.64	175
305.71	177.1
307.77	179.1
309.82	181.1
311.87	183.2
313.91	185
315.95	187.1
317.99	189.1
320.02	191.2
322.04	193.2
324.06	195.3
326.08	197.4
328.09	199.4
330.09	201.5
332.09	203.6
334.09	205.7
336.08	207.8
338.06	209.9
340.04	211.9
342.01	214.1
343.97	216.2
345.93	218.3
347.88	220.1
349.83	222.2
351.77	223.9
353.7	226
355.62	228.2
357.53	230.3
359.44	232.4
361.34	234.4
363.23	236.2
365.1	238.2
366.97	240.3
368.83	241.9
370.68	244
372.51	246
374.34	248.1
376.15	250
377.95	252
379.73	254
381.51	255.6
383.26	257.4
385.01	259.5
386.73	261.4
388.44	263.3
390.14	265.2
391.82	267.1
393.47	269
395.11	270.3
396.73	272.1
398.34	274
399.92	275.8
