Origin of data [Measured/Computed]:; Measured
Machine/Treatment room:; lzRoom1_90_RF4_260226
Snout name:; lzRoom1_90_RF4
Range modulator name:; RF4
Radiation type:; Carbon
Curve type [Depth/X/Y/AbsoluteDosimetry]:; Depth
Medium:; Water
Single spot [Yes/No]:; Yes
Isocenter to snout distance [mm]:; 680.0
Isocenter to phantom surface distance [mm]:; 150.0
Detector lateral shape [Quadratic/Circular]:; Circular
Detector lateral side/diameter [mm]:; 80.0
Nominal beam energy [MeV]:; 1443.12
Measured dose curve (Depth [mm] Dose [a.u.]):; 
31.90;0.47626
32.00;0.47573
32.10;0.47111
32.20;0.46200
32.30;0.45117
32.40;0.43983
32.60;0.42089
32.80;0.40701
33.00;0.39368
33.20;0.38162
33.40;0.36604
33.60;0.35176
33.80;0.33275
34.00;0.31430
34.20;0.28967
34.40;0.27227
34.60;0.27299
34.80;0.28532
35.00;0.28775
35.20;0.27715
35.40;0.26015
35.60;0.24491
35.80;0.22843
36.00;0.21130
36.20;0.19081
36.40;0.17212
36.60;0.15370
36.70;0.14160
36.80;0.12674
36.90;0.10446
37.00;0.07972
37.10;0.05749
37.20;0.04032
37.30;0.02887
37.40;0.02297
37.50;0.02030
37.60;0.01878
37.70;0.01791
37.80;0.01740
37.90;0.01710
38.00;0.01688
38.10;0.01666
38.20;0.01653
38.30;0.01639
38.40;0.01629
38.50;0.01613
38.60;0.01602
40.60;0.01370
42.60;0.01186
44.60;0.01038
46.60;0.00923
51.60;0.00732
56.60;0.00620
61.60;0.00526
66.60;0.00446
71.60;0.00378
76.60;0.00321
81.60;0.00267
86.60;0.00224
91.60;0.00189
93.10;0.00175
103.10;0.00121
113.10;0.00079
123.10;0.00054
133.10;0.00034
143.10;0.00026
153.10;0.00019
163.10;0.00013
173.10;0.00006
183.10;0.00005
193.10;0.00005
203.10;0.00003
213.10;0.00000
228.10;0.00006
243.10;0.00005
258.10;0.00005
273.10;0.00008
288.10;0.00011
303.10;0.00009
318.10;0.00010
333.10;0.00011
