energy_mevu,measured_r80_mm,fitted_r80_mm,r80_delta_mm,normalized_rmse,normalized_max_abs_error,spectrum_components,spectrum_mean_mevu
120.25999999999999,27.27166023166023,27.060963076570417,-0.21069715508981446,0.04104587239254952,0.12929216425130452,5.0,104.41378646286358
131.04999999999998,33.18932006633499,32.85803420231916,-0.3312858640158325,0.03662007138094301,0.10746069721095575,6.0,116.1961910292576
141.4,39.17819285232637,39.08546020686718,-0.09273264545918636,0.016055718581118702,0.05043890033041498,7.0,127.3919012244073
173.01,59.66651769087523,59.542627827680434,-0.12388986319479756,0.012702860089414106,0.03758660629678294,10.0,161.3849324184639
190.19000000000003,72.08147869674185,72.02209803156454,-0.059380665177314995,0.00959644838474779,0.02873967931424637,9.0,179.82511520481927
211.44000000000003,88.04860598345003,87.95610673527636,-0.09249924817366662,0.010523956201729657,0.030085419111151035,6.0,201.83037661907554
240.63,111.98316981132075,111.95115446743928,-0.03201534388146854,0.007874378882470508,0.0216349325379116,7.0,232.20763440008037
261.03000000000003,129.5919593220339,129.51053765118112,-0.08142167085276242,0.0090344235569245,0.020415657781157948,7.0,252.9273227187906
282.69,149.3986945169713,149.31140486600518,-0.08728965096611319,0.008830248733844966,0.020189797526752096,8.0,275.2097624272428
309.82,175.38252631578948,175.30775297546518,-0.07477334032429894,0.008100461452668867,0.01990299095482484,8.0,302.9764916303691
330.09,195.71163434903045,195.64990681350557,-0.06172753552488075,0.007842013261760792,0.025023979537461365,7.0,323.81037497732063
355.61999999999995,222.50794019933554,222.42981405873337,-0.0781261406021656,0.012391194596442051,0.03911827907299152,8.0,350.19294864001756
383.26,251.97628936170213,251.96938453380588,-0.006904827896249799,0.012540087668799847,0.05681561865617403,9.0,377.98492727430937
399.92,270.44177062374246,270.4740900174949,0.03231939375245929,0.015298260665122704,0.06997580623720522,8.0,394.87154376757826
