energy_mevu,rmse_mm,isocenter_error_mm,sigma_source_mm,sigma_prime_rad,correlation
120.26,0.000762255885892319,0.0008395525134958781,2.4314538842775497,0.006527202496624519,-0.5073090051794362
123.91,0.00010450090763905532,0.0001156241830493343,2.295449542390218,0.006230116632455306,-0.470723199661551
127.51,0.0017071197260597093,0.0018970435373706351,2.152011217284381,0.005948273368415953,-0.4287045919534838
131.05,0.0025944708811066466,0.0028954338960556214,1.9825108060932133,0.005667065692555347,-0.3748524154285018
134.55,0.002256325598063611,0.0025271714482295593,1.912789265685255,0.005455290242146916,-0.3407223312881
138.0,0.0016259804095040164,0.0018259503299722368,1.8717156445933856,0.005284951444335989,-0.3192865767085796
141.4,0.0004771442752835476,0.0005368855525302862,1.8552540008143164,0.00514953340296991,-0.30870580605715536
144.75,0.0016423016885320767,0.0018538496371554025,1.7556171738886859,0.004955945192567739,-0.26155401155576075
148.06,0.0015721634395442937,0.0017774897085183206,1.7472782076622688,0.004840357505709414,-0.25579972917346494
151.32,0.0014779906013280887,0.0016746534075706698,1.7445420736083288,0.00472660727371204,-0.245860287032895
154.54,0.00011929835961171064,0.00013536937989444553,1.6961004780584166,0.004609552684653564,-0.22541972622763595
157.72,0.0013492272114614637,0.0015331797048756535,1.731752763358812,0.004534905102345336,-0.23711166738611558
160.86,0.0006294803711287809,0.0007159381319463698,1.7706665290288195,0.004480085360868478,-0.2547632616068703
163.95,0.0009896333848749175,0.001127962186211473,1.730042795116849,0.004365037828791022,-0.2309164856471399
167.01,0.0010478811891843438,0.001195888300649539,1.7252764517718813,0.00428884891871067,-0.22795016659812406
170.03,0.0004471579178965009,0.0005105238672316048,1.7551790112840038,0.004251850745444526,-0.24661492333679974
173.01,0.00038275963127376274,0.0004375887450134286,1.750212689315875,0.004176057721464506,-0.24419280055015258
175.96,0.0025512901608820767,0.002918987646594484,1.7376444417391939,0.004117215599974682,-0.24136223337425444
178.87,0.0004042221476063037,0.00046294665233848065,1.7832899764862762,0.0040849499717884805,-0.26234052146517367
181.75,0.0017608907779281325,0.0020183337481145536,1.77076226157078,0.004026382667314383,-0.25998253008767497
184.59,0.0005154338805821597,0.0005916064658522124,1.7755980855640487,0.003972183303708668,-0.2598883079196901
187.41,0.0016481931377832404,0.00189337319010896,1.7632643817054348,0.003913809438212519,-0.2576921252134182
190.19,0.0009112634737410151,0.0010472920051030066,1.799092126718426,0.003898868465630563,-0.2782015427495277
192.94,0.0006460790398535093,0.0007434081686690241,1.7590609232770436,0.003820284238702516,-0.26105410635208437
195.66,0.0013901276384829454,0.0016003138801470307,1.7941753700705123,0.003805594852053069,-0.28184009992994613
198.36,0.0007405616223050601,0.000853820447733078,1.7886581337707272,0.003750023550867366,-0.27669329024600703
201.03,0.0014503636934426701,0.0016713945399748908,1.782133018001153,0.0037289307500687698,-0.28483373841807524
203.67,0.0006786129846161653,0.0007832412284707324,1.7767412095262014,0.003673536318457783,-0.27984268879565133
206.28,0.0006327302098096545,0.0007309059035565113,1.7741884876285483,0.003636563301518371,-0.2797275266871767
208.87,0.003837341429310635,0.0044366277204064275,1.7810242065209356,0.003601615548123928,-0.28551963208651954
211.44,0.0001807373147205354,0.00020908094750460293,1.8045449842445829,0.0035857343607228315,-0.3007958283743022
213.98,0.0002316966180239244,0.0002682715865192087,1.8018423160401782,0.003549047881567006,-0.3010181667920018
216.5,0.001084984100981091,0.0012591182666987777,1.7354609540350558,0.003449749449541806,-0.25883309761941115
219.0,0.00039109129710730885,0.00045379466109718436,1.7617757600628319,0.003452678019646079,-0.28023549922155483
221.48,0.00034016598948064387,0.00039507451492415413,1.7593636042411023,0.003416111253359819,-0.2805717426666998
223.94,0.00028832036567959826,0.00033517923786119397,1.756974966222046,0.0033796197436527153,-0.2809925787690601
226.37,0.0009704766237668769,0.0011296229787376433,1.7197171674506084,0.003319402727012109,-0.2584292449193926
228.79,0.002772432715702609,0.0032312916975127948,1.6910632966306944,0.0032607048596426315,-0.24091408210380796
231.19,0.0016076650393800792,0.0018755444444980007,1.6802343598400706,0.003222271889146473,-0.23474816692805864
