energy_mevu,measured_r80_mm,fitted_r80_mm,r80_delta_mm,normalized_rmse,normalized_max_abs_error,spectrum_components,spectrum_mean_mevu
120.25999999999999,27.098321584424305,27.00558809031343,-0.09273349411087395,0.06144699803846865,0.22837899106835335,6.0,104.0944278637781
123.91000000000001,29.096704119850187,28.396116522599982,-0.7005875972502054,0.07381006732533023,0.25816709245066505,6.0,108.16628491533999
127.50999999999999,31.12030456852792,30.395034950180353,-0.7252696183475678,0.07386864318260145,0.2468961236859598,7.0,112.24595744075415
131.04999999999998,33.14632768361582,32.43766581866205,-0.7086618649537755,0.04851211482464017,0.15809684317335249,6.0,115.70964838664024
134.54999999999998,35.09384615384616,35.062011363678714,-0.03183479016744428,0.01236849581135419,0.05617324322360295,7.0,119.31950947746122
138.0,37.217134986225894,37.38287452792065,0.16573954169475513,0.014572311009543282,0.04325420438451444,7.0,123.20146824768057
141.4,39.339999999999996,39.491942466454105,0.15194246645410914,0.013757160590513549,0.046122316852517664,13.0,127.06132877770514
144.75,41.365148514851484,41.51654530036019,0.15139678550870883,0.013446272908545522,0.04332676754650744,8.0,130.66123623573787
148.06,43.40637837837838,43.52303942164214,0.11666104326376114,0.011858469992061036,0.04042592223941255,8.0,134.3330488313344
151.32,45.42023121387283,45.55260937396432,0.13237816009149128,0.011711202966284364,0.039821853063320534,8.0,137.79629491814705
154.54,47.557356608478806,47.638660382154875,0.08130377367606911,0.009157562805196652,0.0344290437151612,14.0,141.3045736761232
157.72,49.68892156862745,49.74137638952229,0.05245482089483744,0.007488958446140161,0.03460711023478669,7.0,144.89461650987244
160.85999999999999,51.662424242424244,51.71996156640302,0.05753732397877798,0.007679076828167493,0.03490073262671356,9.0,148.15149423338653
163.95000000000002,53.568712871287126,53.570956768614295,0.002243897327169009,0.008786914143542303,0.03550224239772393,8.0,151.21289307221102
167.01,55.71264150943396,55.70551979450848,-0.007121714925474976,0.008255332093921718,0.03671861684336475,6.0,154.61564542530814
170.03,57.7972864321608,57.75555425240488,-0.04173217975592536,0.009173959024424153,0.03881073892931908,9.0,157.95841969066277
173.01,59.92230215827338,59.91003111843842,-0.012271039834963915,0.007841731297471403,0.025640236697690777,9.0,161.23013378296332
175.96,62.15032911392405,62.16082256751789,0.010493453593838353,0.007505386672191312,0.029159793703274192,8.0,164.56335172494045
178.87,64.11508021390374,64.09553740185014,-0.019542812053600755,0.009348846823034752,0.028702216667695693,9.0,167.49824267179343
181.75,66.10590799031476,66.09827217996559,-0.007635810349171379,0.006921349434868565,0.0291878415834724,8.0,170.5748318518435
184.59,68.5425205479452,68.61561287101092,0.07309232306572255,0.007000485674574544,0.02467980282317639,8.0,174.04131725377914
187.41,70.49583333333334,70.60066528598495,0.10483195265160816,0.008446101849729321,0.02689027856736781,7.0,176.85868904418916
190.19000000000003,72.5529906542056,72.63971043834155,0.08671978413595127,0.007922730500916113,0.026506468971066677,6.0,179.83474602998294
192.94000000000003,74.67613588110403,74.71632250658,0.040186625475968185,0.006447986179804045,0.03177919673667662,9.0,182.84877768103615
195.66,76.59056790123456,76.66650570751494,0.07593780628037905,0.007260685748790243,0.02275262101271458,7.0,185.48475600999882
198.36,78.72253658536586,78.74291140104675,0.020374815680895608,0.005813661282941634,0.026591338015149568,7.0,188.39875634221153
201.03,80.76061176470589,80.81135556005295,0.05074379534705997,0.0060034644220881925,0.031837329805339265,7.0,191.25020425808975
203.67,82.78219178082192,82.75180934822845,-0.030382432593469844,0.008258731959870376,0.042160573614268615,10.0,194.12633065975845
206.28,84.67411214953272,84.72265829704844,0.04854614751572228,0.005596677828878387,0.01952029148862444,7.0,196.57203861860063
208.87,86.74273504273505,86.7420006352925,-0.0007344074425503777,0.0062612018341244,0.03206190396757491,6.0,199.37541929643726
211.44000000000003,88.74878661087867,88.723153732828,-0.025632878050672048,0.00820518300036601,0.029437347137121317,7.0,202.0490612232194
213.98000000000002,90.61140997830803,90.70326574527583,0.09185576696779663,0.006581592438824391,0.02367749805922148,7.0,204.52365031262462
216.5,92.66080898876405,92.70132656659861,0.04051757783456367,0.005499625491046162,0.021803350283009504,8.0,207.20153370254437
219.0,94.45371549893842,94.54894495678006,0.09522945784163994,0.0061021065156355685,0.023057752057858635,7.0,209.52801279007963
221.48000000000002,96.54138492871691,96.63680417106576,0.09541924234885357,0.007853724994637427,0.021985643520852013,8.0,212.19234194747048
223.94000000000003,98.53854214123007,98.64971662106957,0.11117447983950512,0.007843814985509172,0.023774227200351383,8.0,214.78171804327
