BeamNumber,BeamName,LayerIndex,ControlPointIndex,Energy_MeVu,SpotIndex,X_mm,Y_mm,MetersetWeight_MU,RelativeWeight,PlanRelativeWeight,NumberOfPaintings,WeightPerPainting_MU,FWHM_X_mm,FWHM_Y_mm,LowStatisticsAnchor,OriginalSpotIndex,OriginalSpotMetersetWeight_MU
1,1,1,0,120.26,1,0.8999999761581421,0.0,2196.7762603759766,0.0017893080361615931,0.0017893080361615931,1,2196.7762603759766,14.31149959564209,14.31149959564209,center,31,36.01380157470703
1,1,1,0,120.26,2,-56.29999923706055,25.0,2196.7762603759766,0.0017893080361615931,0.0017893080361615931,1,2196.7762603759766,14.31149959564209,14.31149959564209,x_min,201,34.60879898071289
1,1,1,0,120.26,3,56.29999923706055,-2.0,2196.7762603759766,0.0017893080361615931,0.0017893080361615931,1,2196.7762603759766,14.31149959564209,14.31149959564209,x_max,75,33.295799255371094
1,1,1,0,120.26,4,-0.8999999761581421,-57.0,2196.7762603759766,0.0017893080361615931,0.0017893080361615931,1,2196.7762603759766,14.31149959564209,14.31149959564209,y_min,137,33.968101501464844
1,1,1,0,120.26,5,25.100000381469727,58.0,2196.7762603759766,0.0017893080361615931,0.0017893080361615931,1,2196.7762603759766,14.31149959564209,14.31149959564209,y_max,313,32.69459915161133
1,1,2,2,123.91,1,2.5999999046325684,1.0,2167.481300354004,0.001765446840858355,0.001765446840858355,1,2167.481300354004,14.31149959564209,14.31149959564209,center,124,37.61259841918945
1,1,2,2,123.91,2,-56.29999923706055,7.0,2167.481300354004,0.001765446840858355,0.001765446840858355,1,2167.481300354004,14.31149959564209,14.31149959564209,x_min,250,37.46689987182617
1,1,2,2,123.91,3,56.29999923706055,10.0,2167.481300354004,0.001765446840858355,0.001765446840858355,1,2167.481300354004,14.31149959564209,14.31149959564209,x_max,162,37.962501525878906
1,1,2,2,123.91,4,-4.300000190734863,-57.0,2167.481300354004,0.001765446840858355,0.001765446840858355,1,2167.481300354004,14.31149959564209,14.31149959564209,y_min,48,37.98160171508789
1,1,2,2,123.91,5,-54.599998474121094,58.0,2167.481300354004,0.001765446840858355,0.001765446840858355,1,2167.481300354004,14.31149959564209,14.31149959564209,y_max,242,38.75139999389648
1,1,3,4,127.51,1,2.5999999046325684,3.0,2616.939457702637,0.002131537419752652,0.002131537419752652,1,2616.939457702637,14.31149959564209,14.31149959564209,center,77,40.274600982666016
1,1,3,4,127.51,2,-56.29999923706055,-9.0,2616.939457702637,0.002131537419752652,0.002131537419752652,1,2616.939457702637,14.31149959564209,14.31149959564209,x_min,180,42.72869873046875
1,1,3,4,127.51,3,56.29999923706055,24.0,2616.939457702637,0.002131537419752652,0.002131537419752652,1,2616.939457702637,14.31149959564209,14.31149959564209,x_max,315,41.1515998840332
1,1,3,4,127.51,4,2.5999999046325684,-57.0,2616.939457702637,0.002131537419752652,0.002131537419752652,1,2616.939457702637,14.31149959564209,14.31149959564209,y_min,216,39.25130081176758
1,1,3,4,127.51,5,-2.5999999046325684,58.0,2616.939457702637,0.002131537419752652,0.002131537419752652,1,2616.939457702637,14.31149959564209,14.31149959564209,y_max,128,38.654300689697266
1,1,4,6,134.55,1,2.5999999046325684,3.0,2652.6853424072265,0.0021606529923830125,0.0021606529923830125,1,2652.6853424072265,13.928449630737305,13.928449630737305,center,315,37.61899948120117
1,1,4,6,134.55,2,-56.29999923706055,-3.0,2652.6853424072265,0.0021606529923830125,0.0021606529923830125,1,2652.6853424072265,13.928449630737305,13.928449630737305,x_min,102,38.4994010925293
1,1,4,6,134.55,3,56.29999923706055,-8.0,2652.6853424072265,0.0021606529923830125,0.0021606529923830125,1,2652.6853424072265,13.928449630737305,13.928449630737305,x_max,225,37.070098876953125
1,1,4,6,134.55,4,-25.100000381469727,-57.0,2652.6853424072265,0.0021606529923830125,0.0021606529923830125,1,2652.6853424072265,13.928449630737305,13.928449630737305,y_min,138,37.51350021362305
1,1,4,6,134.55,5,0.8999999761581421,58.0,2652.6853424072265,0.0021606529923830125,0.0021606529923830125,1,2652.6853424072265,13.928449630737305,13.928449630737305,y_max,31,39.16780090332031
1,1,5,8,138.0,1,-2.5999999046325684,-2.0,1616.7376617431642,0.0013168576803661558,0.0013168576803661558,1,1616.7376617431642,13.571249961853027,13.571249961853027,center,190,32.60369873046875
1,1,5,8,138.0,2,-56.29999923706055,-5.0,1616.7376617431642,0.0013168576803661558,0.0013168576803661558,1,1616.7376617431642,13.571249961853027,13.571249961853027,x_min,224,34.846099853515625
1,1,5,8,138.0,3,56.29999923706055,16.0,1616.7376617431642,0.0013168576803661558,0.0013168576803661558,1,1616.7376617431642,13.571249961853027,13.571249961853027,x_max,82,34.5004997253418
