BeamNumber,LayerIndex,ControlPointIndex,SpotIndex,Energy_MeVu,Energy_Total_MeV,IEC_X_mm,IEC_Y_mm,TOPAS_LocalX_mm,TOPAS_LocalY_mm,FWHM_IEC_X_mm,FWHM_IEC_Y_mm,Sigma_TOPAS_LocalX_mm,Sigma_TOPAS_LocalY_mm,MetersetWeight_MU,SelectedRelativeWeight,AllocatedHistories
1,8,14,1,148.06,1776.72,0.8999999762,-2,-2,0.8999999762,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
1,8,14,2,148.06,1776.72,-56.29999924,-5,-5,-56.29999924,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
1,8,14,3,148.06,1776.72,56.29999924,-6,-6,56.29999924,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
1,8,14,4,148.06,1776.72,2.599999905,-57,-57,2.599999905,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
1,8,14,5,148.06,1776.72,-16.39999962,58,58,-16.39999962,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
1,9,16,1,151.32,1815.84,-0.8999999762,-3,-3,-0.8999999762,12.64535046,12.64535046,5.369985907,5.369985907,1764.264618,0.001437020654,22
1,9,16,2,151.32,1815.84,-56.29999924,9,9,-56.29999924,12.64535046,12.64535046,5.369985907,5.369985907,1764.264618,0.001437020654,22
1,9,16,3,151.32,1815.84,56.29999924,14,14,56.29999924,12.64535046,12.64535046,5.369985907,5.369985907,1764.264618,0.001437020654,22
1,9,16,4,151.32,1815.84,2.599999905,-57,-57,2.599999905,12.64535046,12.64535046,5.369985907,5.369985907,1764.264618,0.001437020654,22
1,9,16,5,151.32,1815.84,-16.39999962,58,58,-16.39999962,12.64535046,12.64535046,5.369985907,5.369985907,1764.264618,0.001437020654,22
1,10,18,1,154.54,1854.48,-0.8999999762,1,1,-0.8999999762,12.37744999,12.37744999,5.256219054,5.256219054,1772.185821,0.001443472596,22
1,10,18,2,154.54,1854.48,-56.29999924,-5,-5,-56.29999924,12.37744999,12.37744999,5.256219054,5.256219054,1772.185821,0.001443472596,22
1,10,18,3,154.54,1854.48,56.29999924,8,8,56.29999924,12.37744999,12.37744999,5.256219054,5.256219054,1772.185821,0.001443472596,22
1,10,18,4,154.54,1854.48,37.20000076,-57,-57,37.20000076,12.37744999,12.37744999,5.256219054,5.256219054,1772.185821,0.001443472596,22
1,10,18,5,154.54,1854.48,7.800000191,58,58,7.800000191,12.37744999,12.37744999,5.256219054,5.256219054,1772.185821,0.001443472596,22
1,11,20,1,157.72,1892.64,-0.8999999762,3,3,-0.8999999762,12.1260004,12.1260004,5.149438247,5.149438247,1927.256539,0.001569780079,24
1,11,20,2,157.72,1892.64,-56.29999924,-3,-3,-56.29999924,12.1260004,12.1260004,5.149438247,5.149438247,1927.256539,0.001569780079,24
1,11,20,3,157.72,1892.64,56.29999924,12,12,56.29999924,12.1260004,12.1260004,5.149438247,5.149438247,1927.256539,0.001569780079,24
1,11,20,4,157.72,1892.64,6.099999905,-57,-57,6.099999905,12.1260004,12.1260004,5.149438247,5.149438247,1927.256539,0.001569780079,24
