energy_mevu,measured_r80_mm,fitted_r80_mm,r80_delta_mm,normalized_rmse,normalized_max_abs_error,spectrum_components,spectrum_mean_mevu
120.25999999999999,27.27166023166023,27.063488705310796,-0.20817152634943525,0.040525105458916896,0.1288191155639451,6.0,104.76491108014147
131.04999999999998,33.18932006633499,32.85803418538601,-0.3312858809489825,0.036620074094235344,0.1074606981618651,6.0,116.19619092283735
141.4,39.17819285232637,39.0762248680595,-0.10196798426687081,0.016603512247927082,0.05465841332146659,7.0,127.34751350181719
173.01,59.66651769087523,59.530255150305,-0.1362625405702289,0.012414589938897517,0.036718198183206166,13.0,161.35784386505605
190.19000000000003,72.08147869674185,71.97698534723537,-0.10449334950648392,0.01059602094252187,0.02997747012437979,7.0,179.80238852611734
211.44000000000003,88.04860598345003,87.97149149127917,-0.07711449217086397,0.009635199928950164,0.028357238315280142,5.0,201.82469003836874
240.63,111.98316981132075,111.93297937365563,-0.050190437665122545,0.005719997036795455,0.01633628770166967,7.0,232.15878853180902
261.03000000000003,129.5919593220339,129.51178434665817,-0.08017497537571217,0.008849923689359954,0.020084708117350414,7.0,252.92637962541116
282.69,149.3986945169713,149.31224765061228,-0.08644686635901166,0.008008130952601198,0.020138035986796532,9.0,275.1947345179321
309.82,175.38252631578948,175.30843565010616,-0.07409066568331468,0.007076067697323771,0.016690056512720652,9.0,302.95631283850173
330.09,195.71163434903045,195.65585448644157,-0.055779862588877904,0.007605746370097315,0.025023979537461365,7.0,323.7824224168535
355.61999999999995,222.50794019933554,222.44603182608637,-0.061908373249167425,0.010349848129743131,0.03911827907299152,8.0,350.1645486148026
383.26,251.97628936170213,251.9775966741392,0.0013073124370635014,0.012501556109394926,0.05681561865617403,8.0,377.9923963327877
399.92,270.44177062374246,270.4692718600575,0.02750123631506085,0.015510093064457017,0.06997580623720522,8.0,394.8506999021003
