300 150 0 -150 -300
120.26	10.61 	10.87 	12.27 	12.45 	14.20 	14.60 	16.38 	16.51 	18.51 	18.60 
123.91	9.62 	9.37 	11.60 	11.58 	13.40 	13.60 	15.54 	15.55 	17.57 	17.74 
127.51	9.31 	9.20 	11.08 	11.18 	13.20 	13.20 	15.09 	15.10 	17.32 	17.12 
131.05	9.22 	8.98 	10.94 	10.94 	12.90 	13.00 	14.72 	14.74 	16.59 	16.79 
134.55	9.19 	8.80 	10.82 	10.72 	12.70 	12.70 	14.51 	14.52 	16.38 	16.23 
138	9.04 	8.80 	10.66 	10.68 	12.40 	12.60 	14.15 	14.39 	15.79 	16.05 
141.4	9.80 	8.50 	11.11 	10.37 	12.50 	12.20 	14.10 	13.82 	15.65 	15.61 
144.75	9.40 	8.50 	10.71 	10.31 	12.20 	12.00 	13.74 	13.69 	15.47 	15.29 
148.06	8.74 	8.20 	10.34 	10.09 	11.80 	11.70 	13.50 	13.51 	14.88 	15.08 
151.32	8.40 	7.98 	9.90 	9.75 	11.37 	11.50 	12.96 	13.26 	14.64 	14.85 
154.54	8.63 	7.99 	10.09 	9.69 	11.35 	11.28 	12.92 	12.88 	14.58 	14.40 
157.72	8.41 	7.94 	9.66 	9.58 	11.17 	11.19 	12.77 	12.81 	14.42 	14.29 
160.86	8.17 	7.83 	9.65 	9.49 	10.96 	11.06 	12.60 	12.70 	13.86 	14.12 
163.95	7.98 	7.99 	9.37 	9.56 	11.04 	10.95 	12.40 	12.66 	13.78 	14.11 
167.01	9.04 	7.95 	9.88 	9.52 	10.65 	10.86 	12.42 	12.54 	13.64 	13.97 
170.03	8.45 	7.91 	9.51 	9.43 	10.72 	10.90 	11.93 	12.33 	13.46 	13.86 
173.01	8.56 	7.84 	9.69 	9.36 	10.73 	10.76 	11.94 	12.21 	13.18 	13.58 
175.96	7.50 	7.26 	8.68 	8.74 	10.05 	10.22 	11.52 	11.74 	12.87 	13.13 
178.87	8.25 	7.18 	9.36 	8.69 	10.25 	10.14 	11.49 	11.58 	12.74 	13.04 
181.75	7.77 	7.23 	8.76 	8.71 	10.07 	10.21 	11.35 	11.63 	12.60 	12.85 
184.59	8.29 	7.19 	8.95 	8.61 	10.04 	9.99 	11.19 	11.34 	12.55 	12.77 
187.41	7.28 	7.36 	8.67 	8.68 	9.88 	9.94 	11.36 	11.25 	12.84 	12.67 
190.19	6.79 	7.01 	8.22 	8.38 	9.49 	9.67 	11.06 	11.04 	12.60 	12.43 
192.94	6.64 	6.85 	8.14 	8.28 	9.44 	9.54 	10.98 	10.85 	12.55 	12.26 
195.66	6.67 	6.70 	8.13 	8.09 	9.48 	9.33 	11.03 	10.70 	12.52 	12.07 
198.36	6.50 	6.72 	7.84 	8.05 	9.26 	9.31 	10.84 	10.71 	12.44 	12.05 
201.03	6.37 	6.72 	7.80 	8.06 	9.05 	9.24 	10.55 	10.59 	11.93 	11.85 
203.67	6.61 	6.96 	8.05 	8.23 	9.25 	9.31 	10.82 	10.63 	12.25 	11.88 
206.28	6.53 	7.23 	7.88 	8.43 	9.18 	9.56 	10.77 	10.78 	12.16 	12.03 
208.87	6.63 	6.91 	8.07 	8.05 	9.39 	9.14 	10.97 	10.46 	12.31 	11.67 
211.44	6.39 	6.91 	7.82 	8.03 	9.12 	9.16 	10.79 	10.49 	12.02 	11.68 
213.98	6.20 	6.92 	7.59 	8.04 	9.01 	9.18 	10.43 	10.42 	11.90 	11.60 
216.5	6.07 	6.90 	7.43 	7.99 	8.69 	9.12 	10.12 	10.34 	11.40 	11.46 
219	7.26 	6.75 	8.03 	7.96 	8.81 	9.05 	9.70 	10.25 	10.78 	11.43 
221.48	7.36 	6.74 	7.87 	7.89 	8.68 	8.96 	9.61 	10.13 	10.69 	11.33 
223.94	7.52 	6.24 	7.88 	7.46 	8.60 	8.53 	9.59 	9.81 	10.62 	10.94 
226.37	6.87 	6.56 	7.45 	7.70 	8.28 	8.69 	9.32 	9.94 	10.37 	11.01
228.79	5.98 	6.40 	7.25 	7.54 	8.43 	8.51 	9.86 	9.75 	11.16 	10.86 
231.19	5.76 	6.07 	6.91 	7.23 	8.15 	8.30 	9.48 	9.45 	10.69 	10.60 
233.58	5.62 	5.78 	6.75 	7.02 	7.98 	8.05 	9.30 	9.19 	10.51 	10.40 
235.94	5.58 	5.70 	6.66 	6.79 	7.86 	7.92 	9.22 	9.02 	10.50 	10.18 
238.29	5.44 	5.49 	6.56 	6.66 	7.80 	7.74 	9.08 	8.90 	10.33 	10.01 
240.63	5.39 	5.54 	6.54 	6.67 	7.64 	7.72 	8.87 	8.87 	10.19 	10.01 
