Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
231.19,0.0,3.49,3.51
231.19,150.0,3.0,3.03
231.19,300.0,2.51,2.55
233.58,-300.0,4.44,4.46
233.58,-150.0,3.93,3.97
233.58,0.0,3.4,3.48
233.58,150.0,2.92,3.0
233.58,300.0,2.42,2.52
235.94,-300.0,4.39,4.42
235.94,-150.0,3.87,3.93
235.94,0.0,3.35,3.45
235.94,150.0,2.86,2.97
235.94,300.0,2.4,2.5
238.29,-300.0,4.32,4.38
238.29,-150.0,3.82,3.9
238.29,0.0,3.3,3.41
238.29,150.0,2.81,2.94
238.29,300.0,2.32,2.47
240.63,-300.0,4.29,4.35
240.63,-150.0,3.77,3.86
240.63,0.0,3.26,3.38
240.63,150.0,2.81,2.91
240.63,300.0,2.32,2.45
242.95,-300.0,4.31,4.31
242.95,-150.0,3.82,3.83
242.95,0.0,3.28,3.35
242.95,150.0,2.79,2.88
242.95,300.0,2.3,2.43
245.25,-300.0,4.37,4.27
245.25,-150.0,3.84,3.79
245.25,0.0,3.37,3.32
245.25,150.0,2.89,2.85
245.25,300.0,2.4,2.4
247.54,-300.0,4.28,4.24
247.54,-150.0,3.79,3.76
247.54,0.0,3.27,3.29
247.54,150.0,2.84,2.83
247.54,300.0,2.37,2.38
249.82,-300.0,4.26,4.2
249.82,-150.0,3.79,3.73
249.82,0.0,3.3,3.26
249.82,150.0,2.84,2.8
249.82,300.0,2.34,2.36
252.09,-300.0,4.27,4.17
252.09,-150.0,3.78,3.7
252.09,0.0,3.25,3.23
252.09,150.0,2.81,2.77
252.09,300.0,2.32,2.34
254.34,-300.0,4.18,4.14
254.34,-150.0,3.73,3.67
254.34,0.0,3.21,3.2
254.34,150.0,2.77,2.75
254.34,300.0,2.28,2.31
256.58,-300.0,4.13,4.11
256.58,-150.0,3.65,3.64
256.58,0.0,3.16,3.18
256.58,150.0,2.72,2.73
256.58,300.0,2.22,2.29
258.81,-300.0,4.11,4.08
258.81,-150.0,3.65,3.61
258.81,0.0,3.15,3.15
258.81,150.0,2.72,2.7
258.81,300.0,2.24,2.27
261.03,-300.0,4.2,4.04
261.03,-150.0,3.72,3.58
261.03,0.0,3.18,3.12
261.03,150.0,2.75,2.68
261.03,300.0,2.28,2.25
263.23,-300.0,4.09,4.01
263.23,-150.0,3.61,3.55
263.23,0.0,3.11,3.1
263.23,150.0,2.67,2.66
263.23,300.0,2.21,2.24
265.43,-300.0,4.01,3.99
265.43,-150.0,3.51,3.52
265.43,0.0,3.04,3.07
265.43,150.0,2.61,2.63
265.43,300.0,2.18,2.22
267.62,-300.0,4.02,3.96
267.62,-150.0,3.55,3.5
267.62,0.0,3.05,3.05
267.62,150.0,2.63,2.61
267.62,300.0,2.18,2.2
269.8,-300.0,3.98,3.93
269.8,-150.0,3.51,3.47
269.8,0.0,3.01,3.02
269.8,150.0,2.6,2.59
269.8,300.0,2.16,2.18
271.97,-300.0,3.94,3.9
271.97,-150.0,3.48,3.45
271.97,0.0,2.97,3.0
271.97,150.0,2.56,2.57
271.97,300.0,2.14,2.17
274.13,-300.0,3.88,3.87
274.13,-150.0,3.41,3.42
274.13,0.0,2.93,2.98
274.13,150.0,2.52,2.55
274.13,300.0,2.12,2.15
276.28,-300.0,3.83,3.85
276.28,-150.0,3.38,3.4
276.28,0.0,2.92,2.96
276.28,150.0,2.5,2.53
276.28,300.0,2.09,2.13
278.42,-300.0,3.81,3.82
278.42,-150.0,3.38,3.37
278.42,0.0,2.89,2.93
278.42,150.0,2.47,2.51
278.42,300.0,2.06,2.12
280.56,-300.0,3.77,3.79
280.56,-150.0,3.32,3.35
280.56,0.0,2.84,2.91
280.56,150.0,2.45,2.49
280.56,300.0,2.05,2.1
282.69,-300.0,3.76,3.77
282.69,-150.0,3.29,3.33
282.69,0.0,2.81,2.89
282.69,150.0,2.43,2.48
282.69,300.0,2.01,2.09
284.81,-300.0,3.74,3.74
284.81,-150.0,3.3,3.3
284.81,0.0,2.84,2.87
284.81,150.0,2.42,2.46
284.81,300.0,2.04,2.08
286.93,-300.0,3.73,3.72
286.93,-150.0,3.31,3.28
286.93,0.0,2.81,2.85
286.93,150.0,2.43,2.44
286.93,300.0,2.0,2.06
289.04,-300.0,3.67,3.7
289.04,-150.0,3.25,3.26
289.04,0.0,2.79,2.83
289.04,150.0,2.38,2.43
289.04,300.0,2.01,2.05
291.14,-300.0,3.58,3.67
291.14,-150.0,3.15,3.24
291.14,0.0,2.73,2.81
291.14,150.0,2.35,2.41
291.14,300.0,2.0,2.04
293.24,-300.0,3.56,3.65
293.24,-150.0,3.15,3.22
293.24,0.0,2.72,2.8
293.24,150.0,2.34,2.39
293.24,300.0,1.99,2.03
295.33,-300.0,3.52,3.63
295.33,-150.0,3.12,3.2
295.33,0.0,2.71,2.78
295.33,150.0,2.36,2.38
295.33,300.0,2.03,2.01
297.42,-300.0,3.47,3.61
297.42,-150.0,3.08,3.18
297.42,0.0,2.72,2.76
297.42,150.0,2.42,2.37
297.42,300.0,2.09,2.0
299.5,-300.0,3.48,3.58
299.5,-150.0,3.08,3.16
299.5,0.0,2.66,2.74
299.5,150.0,2.33,2.35
299.5,300.0,2.0,1.99
301.57,-300.0,3.45,3.56
301.57,-150.0,3.06,3.14
301.57,0.0,2.63,2.73
301.57,150.0,2.33,2.34
301.57,300.0,1.99,1.98
303.64,-300.0,3.43,3.54
303.64,-150.0,2.99,3.12
303.64,0.0,2.62,2.71
303.64,150.0,2.32,2.32
303.64,300.0,2.07,1.97
305.71,-300.0,3.44,3.52
305.71,-150.0,3.03,3.1
305.71,0.0,2.65,2.69
305.71,150.0,2.28,2.31
305.71,300.0,1.98,1.97
307.77,-300.0,3.45,3.5
307.77,-150.0,3.01,3.08
307.77,0.0,2.61,2.68
307.77,150.0,2.25,2.3
307.77,300.0,1.92,1.96
309.82,-300.0,3.41,3.48
309.82,-150.0,3.02,3.06
309.82,0.0,2.59,2.66
309.82,150.0,2.26,2.29
309.82,300.0,1.94,1.95
311.87,-300.0,3.38,3.46
311.87,-150.0,2.98,3.05
311.87,0.0,2.58,2.65
311.87,150.0,2.24,2.27
311.87,300.0,1.92,1.94
313.91,-300.0,3.38,3.44
313.91,-150.0,2.98,3.03
313.91,0.0,2.55,2.63
313.91,150.0,2.24,2.26
313.91,300.0,1.93,1.93
315.95,-300.0,3.33,3.42
315.95,-150.0,2.97,3.01
315.95,0.0,2.56,2.62
315.95,150.0,2.26,2.25
315.95,300.0,1.95,1.93
317.99,-300.0,3.35,3.4
317.99,-150.0,2.97,3.0
317.99,0.0,2.57,2.61
317.99,150.0,2.26,2.24
317.99,300.0,1.94,1.92
320.02,-300.0,3.39,3.38
320.02,-150.0,2.98,2.98
320.02,0.0,2.56,2.59
320.02,150.0,2.26,2.23
320.02,300.0,1.91,1.91
322.04,-300.0,3.29,3.37
322.04,-150.0,2.9,2.96
322.04,0.0,2.55,2.58
322.04,150.0,2.23,2.22
322.04,300.0,1.95,1.91
324.06,-300.0,3.4,3.35
324.06,-150.0,3.02,2.95
324.06,0.0,2.58,2.57
324.06,150.0,2.25,2.21
324.06,300.0,1.88,1.9
326.08,-300.0,3.24,3.33
326.08,-150.0,2.88,2.93
326.08,0.0,2.53,2.55
326.08,150.0,2.22,2.2
326.08,300.0,1.96,1.9
328.09,-300.0,3.37,3.31
328.09,-150.0,2.97,2.92
328.09,0.0,2.56,2.54
328.09,150.0,2.23,2.2
328.09,300.0,1.9,1.89
330.09,-300.0,3.38,3.3
330.09,-150.0,2.97,2.9
330.09,0.0,2.57,2.53
330.09,150.0,2.24,2.19
330.09,300.0,1.89,1.89
332.09,-300.0,3.37,3.28
332.09,-150.0,2.98,2.89
332.09,0.0,2.56,2.52
332.09,150.0,2.21,2.18
332.09,300.0,1.86,1.89
334.09,-300.0,3.32,3.26
334.09,-150.0,2.92,2.88
334.09,0.0,2.52,2.51
334.09,150.0,2.19,2.17
334.09,300.0,1.88,1.88
336.08,-300.0,3.3,3.25
336.08,-150.0,2.91,2.86
336.08,0.0,2.51,2.5
336.08,150.0,2.2,2.17
336.08,300.0,1.86,1.88
338.06,-300.0,3.32,3.23
338.06,-150.0,2.92,2.85
338.06,0.0,2.53,2.49
