energy_mevu,idd_r80_mm_project_metric,range_csv_value,range_minus_idd_r80_mm
120.25999999999999,27.27166023166023,33.3,6.028339768339766
131.04999999999998,33.18932006633499,39.19999999999999,6.010679933664996
141.4,39.17819285232637,45.3,6.121807147673628
173.01,59.66651769087523,65.7,6.033482309124771
190.19000000000003,72.08147869674185,78.20000000000002,6.118521303258163
211.44000000000003,88.04860598345003,94.20000000000002,6.151394016549986
240.63,111.98316981132075,118.0,6.016830188679251
261.03000000000003,129.5919593220339,135.60000000000005,6.008040677966164
282.69,149.3986945169713,155.2,5.801305483028699
309.82,175.38252631578948,181.1,5.717473684210518
330.09,195.71163434903045,201.5,5.788365650969553
355.61999999999995,222.50794019933554,228.19999999999993,5.692059800664396
383.26,251.97628936170213,257.4,5.423710638297848
399.92,270.44177062374246,275.8,5.358229376257555
