Energy[MeV/u],thetax2_sqrt[rad],thetay2_sqrt[rad],xtheta[mm rad],ytheta[mm rad],x2_sqrt[mm],y2_sqrt[mm]
120.26,0.005406666657079294,0.005406666657079294,0.011545744920122445,0.011545744920122445,2.135466674417835,2.135466674417835
123.91,0.005253333336634547,0.005253333336634547,0.011261734532359097,0.011261734532359097,2.1437333350941565,2.1437333350941565
127.51,0.005139999995399123,0.005139999995399123,0.010942021066043642,0.010942021066043642,2.128800003476653,2.128800003476653
131.05,0.0050066666788630846,0.0050066666788630846,0.010661519150495593,0.010661519150495593,2.129466668319615,2.129466668319615
134.55,0.004906666687112211,0.004906666687112211,0.010330812920018464,0.010330812920018464,2.105466686371121,2.105466686371121
138.0,0.004806666667036496,0.004806666667036496,0.010043359736335055,0.010043359736335055,2.0894666669068145,2.0894666669068145
141.4,0.00469333333352359,0.00469333333352359,0.009764626694901931,0.009764626694901931,2.0805333364650336,2.0805333364650336
144.75,0.0046066666691650555,0.0046066666691650555,0.00948726697783636,0.00948726697783636,2.0594666700363553,2.0594666700363553
148.06,0.004526666671874202,0.004526666671874202,0.009197573947927973,0.009197573947927973,2.0318666719285936,2.0318666719285936
151.32,0.004446666652419695,0.004446666652419695,0.008930083528607056,0.008930083528607056,2.0082666763068744,2.0082666763068744
154.54,0.004373333332227026,0.004373333332227026,0.008677267782578603,0.008677267782578603,1.9841333373590224,1.9841333373590224
157.72,0.00429333333383217,0.00429333333383217,0.008442974683787338,0.008442974683787338,1.9665333367522093,1.9665333367522093
160.86,0.004233333333685527,0.004233333333685527,0.008184436264642892,0.008184436264642892,1.9333333342692363,1.9333333342692363
163.95,0.004180000003565069,0.004180000003565069,0.007948680057815611,0.007948680057815611,1.901599999934039,1.901599999934039
167.01,0.004100000008376609,0.004100000008376609,0.007748992303317902,0.007748992303317902,1.8900000088990643,1.8900000088990643
170.03,0.004046666670345531,0.004046666670345531,0.007535964909765052,0.007535964909765052,1.8622666652931974,1.8622666652931974
173.01,0.003993333340035364,0.003993333340035364,0.0073099224954633725,0.0073099224954633725,1.8305333371765158,1.8305333371765158
175.96,0.003946666666602299,0.003946666666602299,0.0071129386648227,0.0071129386648227,1.802266666693704,1.802266666693704
178.87,0.003899999999758067,0.003899999999758067,0.006918593092666973,0.006918593092666973,1.7740000029990188,1.7740000029990188
181.75,0.003846666666207174,0.003846666666207174,0.006740379039509881,0.006740379039509881,1.752266667426555,1.752266667426555
184.59,0.0038133333327060905,0.0038133333327060905,0.0065624858827374654,0.0065624858827374654,1.7209333338223831,1.7209333338223831
187.41,0.0037666666617372207,0.0037666666617372207,0.006398304718030168,0.006398304718030168,1.6986666702782576,1.6986666702782576
190.19,0.0037200000015731064,0.0037200000015731064,0.0062287617698094586,0.0062287617698094586,1.6743999989095288,1.6743999989095288
192.94,0.0036866666588109085,0.0036866666588109085,0.006064806387791732,0.006064806387791732,1.645066672385379,1.645066672385379
195.66,0.0036466666661503985,0.0036466666661503985,0.0059158598624470616,0.0059158598624470616,1.6222666670430614,1.6222666670430614
198.36,0.0036200000002125257,0.0036200000002125257,0.005757242244382326,0.005757242244382326,1.5904000003569965,1.5904000003569965
201.03,0.0035800000176107486,0.0035800000176107486,0.005626322457904021,0.005626322457904021,1.5716000157975007,1.5716000157975007
203.67,0.0035466666718190444,0.0035466666718190444,0.005484086984384788,0.005484086984384788,1.546266671196515,1.546266671196515
206.28,0.003513333339098685,0.003513333339098685,0.005364620439123724,0.005364620439123724,1.5269333382199868,1.5269333382199868
208.87,0.0034800000013886835,0.0034800000013886835,0.005225562778660601,0.005225562778660601,1.5016000006159074,1.5016000006159074
211.44,0.0034466666669406044,0.0034466666669406044,0.005108874003894311,0.005108874003894311,1.4822666670311533,1.4822666670311533
213.98,0.003458498445791093,0.003458498445791093,0.004811502084458278,0.004811502084458278,1.494066360189579,1.494066360189579
216.5,0.0034591573199376975,0.0034591573199376975,0.004543401475022977,0.004543401475022977,1.506068133411694,1.506068133411694
219.0,0.0034071360986087018,0.0034071360986087018,0.00462838128590282,0.00462838128590282,1.4314065523010295,1.4314065523010295
221.48,0.0033913665804887567,0.0033913665804887567,0.004469458018399984,0.004469458018399984,1.420091256958425,1.420091256958425
223.94,0.003470927645346179,0.003470927645346179,0.003844205969355922,0.003844205969355922,1.5216750167965,1.5216750167965
226.37,0.0033916065113922724,0.0033916065113922724,0.003987413545360665,0.003987413545360665,1.4542043816817876,1.4542043816817876
228.79,0.0033972411066320383,0.0033972411066320383,0.003774515974957638,0.003774515974957638,1.456628994164619,1.456628994164619
231.19,0.0033870551871416884,0.0033870551871416884,0.003663854429991059,0.003663854429991059,1.4362815327475815,1.4362815327475815
233.58,0.0033300528449729558,0.0033300528449729558,0.003740157147545966,0.003740157147545966,1.381795327347991,1.381795327347991
235.94,0.0033294364717338554,0.0033294364717338554,0.0035274647455114153,0.0035274647455114153,1.403204472522721,1.403204472522721
238.29,0.003319215144317423,0.003319215144317423,0.003419617489673572,0.003419617489673572,1.3829643424415714,1.3829643424415714
240.63,0.0033873130125419374,0.0033873130125419374,0.0029544022812899727,0.0029544022812899727,1.450372352631584,1.450372352631584
242.95,0.0033708672032771608,0.0033708672032771608,0.002846319062260543,0.002846319062260543,1.4480698541447905,1.4480698541447905
245.25,0.0033149181838461866,0.0033149181838461866,0.0029237217954015456,0.0029237217954015456,1.3958719305640068,1.3958719305640068
247.54,0.003319195119323879,0.003319195119323879,0.002759586288988178,0.002759586288988178,1.4069210576549325,1.4069210576549325
249.82,0.0033027210664127228,0.0033027210664127228,0.0026544898227874258,0.0026544898227874258,1.404709609517621,1.404709609517621
252.09,0.0033531731669071596,0.0033531731669071596,0.0023033256253930205,0.0023033256253930205,1.4472183447790812,1.4472183447790812
254.34,0.003304191562867516,0.003304191562867516,0.002413701635308747,0.002413701635308747,1.3882186180992857,1.3882186180992857
256.58,0.0032495917274677462,0.0032495917274677462,0.0025163535618798623,0.0025163535618798623,1.3453295546380433,1.3453295546380433
258.81,0.003299446303369251,0.003299446303369251,0.002173595981864088,0.002173595981864088,1.3888691029929165,1.3888691029929165
261.03,0.003236509588175573,0.003236509588175573,0.002260994868088127,0.002260994868088127,1.3540649191516951,1.3540649191516951
263.23,0.0032343398082891298,0.0032343398082891298,0.0021038014933637108,0.0021038014933637108,1.3813405619180184,1.3813405619180184
265.43,0.0033464945376012983,0.0033464945376012983,0.001536627040840264,0.001536627040840264,1.4642195713875852,1.4642195713875852
267.62,0.003280402410537168,0.003280402410537168,0.0017232957256978635,0.0017232957256978635,1.404779203312115,1.404779203312115
269.8,0.0032824425483682146,0.0032824425483682146,0.0015789681144164772,0.0015789681144164772,1.4138589011381149,1.4138589011381149
271.97,0.0032664264619158426,0.0032664264619158426,0.0015122166380825764,0.0015122166380825764,1.4194769665730147,1.4194769665730147
274.13,0.0032132716163994312,0.0032132716163994312,0.0016135837485218817,0.0016135837485218817,1.37923946256414,1.37923946256414
276.28,0.0032110018338407558,0.0032110018338407558,0.0015660291106248316,0.0015660291106248316,1.3619892023576028,1.3619892023576028
