energy_mevu,rmse_mm,isocenter_error_mm,sigma_source_mm,sigma_prime_rad,correlation
120.26,0.03967369709047999,0.04800134961396285,2.135466674417835,0.005406666657079294,0.999999
123.91,0.03867818741262587,0.04400133574033305,2.1437333350941565,0.005253333336634547,0.999999
127.51,0.032588369381664144,0.0360013226573912,2.128800003476653,0.005139999995399123,0.999999
131.05,0.03258836922665534,0.036001300107900036,2.129466668319615,0.0050066666788630846,0.999999
134.55,0.03136880167058209,0.038001257271039535,2.105466686371121,0.004906666687112211,0.999999
138.0,0.02782088259515504,0.03200127414298137,2.0894666669068145,0.004806666667036496,0.999999
141.4,0.026533025116424688,0.028001256214187364,2.0805333364650336,0.00469333333352359,0.999999
144.75,0.023108466504464385,0.028001237487023545,2.0594666700363553,0.0046066666691650555,0.999999
148.06,0.025258688022095778,0.03000121514162135,2.0318666719285936,0.004526666671874202,0.999999
151.32,0.022759639075097204,0.028001206817128477,2.0082666763068744,0.004446666652419695,0.999999
154.54,0.019595943320997775,0.022001186833235487,1.9841333373590224,0.004373333332227026,0.999999
157.72,0.02172558613932772,0.024001171278593247,1.9665333367522093,0.00429333333383217,0.999999
160.86,0.018055494501254564,0.01800115539627889,1.9333333342692363,0.004233333333685527,0.999999
163.95,0.015684411420388927,0.016001136998478493,1.901599999934039,0.004180000003565069,0.999999
167.01,0.01568441081542868,0.022001111809427876,1.8900000088990643,0.004100000008376609,0.999999
170.03,0.01568441084095113,0.016001109505104694,1.8622666652931974,0.004046666670345531,0.999999
173.01,0.013490760882898925,0.014001085033852334,1.8305333371765158,0.003993333340035364,0.999999
175.96,0.00979798172549781,0.014001078216400842,1.802266666693704,0.003946666666602299,0.999999
178.87,0.013190928467716129,0.01400106012269653,1.7740000029990188,0.003899999999758067,0.999999
181.75,0.010862802963391156,0.012001048880149412,1.752266667426555,0.003846666666207174,0.999999
184.59,0.0074833364460248596,0.0060010343592189486,1.7209333338223831,0.0038133333327060905,0.999999
187.41,0.008366621936437552,0.010001021067211013,1.6986666702782576,0.0037666666617372207,0.999999
190.19,0.00748333477816425,0.00600100752854793,1.6743999989095288,0.0037200000015731064,0.999999
192.94,0.006164433743829411,0.008000992897037484,1.645066672385379,0.0036866666588109085,0.999999
195.66,0.006164434781943065,0.008000980664382595,1.6222666670430614,0.0036466666661503985,0.999999
198.36,0.006164433155858766,0.008000965670525773,1.5904000003569965,0.0036200000002125257,0.999999
201.03,0.002449501148494817,0.004000927270507049,1.5716000157975007,0.0035800000176107486,0.999999
203.67,0.002828445460309985,0.00200093415534619,1.546266671196515,0.0035466666718190444,0.999999
206.28,0.0024495008588413946,0.00400092274192998,1.5269333382199868,0.003513333339098685,0.999999
208.87,0.0028284449785316644,0.002000917102316979,1.5016000006159074,0.0034800000013886835,0.999999
211.44,0.0024495005641611205,0.00400090745713122,1.4822666670311533,0.0034466666669406044,0.999999
213.98,0.002040006978034809,0.0024253225807928658,1.494066360189579,0.003458498445791093,0.9311576293631914
216.5,0.0011815893137910446,0.0009842227587006924,1.506068133411694,0.0034591573199376975,0.8720997888895465
219.0,0.0022518075253253242,0.0028811743814269875,1.4314065523010295,0.0034071360986087018,0.9490227995869254
221.48,0.0020389480072623115,0.0024246497219992946,1.420091256958425,0.0033913665804887567,0.9280339677687294
223.94,0.0023149118538883704,0.0013677524987545375,1.5216750167965,0.003470927645346179,0.7278454608830264
226.37,0.0027693841189023625,0.004392998713468543,1.4542043816817876,0.0033916065113922724,0.8084634127837976
